,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,samarai,-10.6167,150.6667,83.61,75.0,100.0,11.16,PG,1614645937.0
2,zhangye,38.9342,100.4517,30.34,46.0,15.0,2.51,CN,1614645937.0
3,tilichiki,60.4667,166.1,-7.02,83.0,95.0,8.08,RU,1614645937.0
4,carnaiba,-8.7,-37.6667,73.8,80.0,22.0,11.68,BR,1614645938.0
5,dikson,73.5069,80.5464,-20.15,90.0,2.0,14.0,RU,1614645938.0
6,saskylakh,71.9167,114.0833,-38.78,80.0,96.0,2.39,RU,1614645938.0
8,camacha,33.0833,-16.3333,57.2,67.0,20.0,4.61,PT,1614645938.0
9,ulaanbaatar,47.9077,106.8832,-2.2,71.0,0.0,2.24,MN,1614645938.0
10,nikolskoye,59.7035,30.7861,37.4,75.0,0.0,8.95,RU,1614645939.0
11,raga,8.4596,25.678,69.1,18.0,0.0,5.66,SS,1614645939.0
12,rikitea,-23.1203,-134.9692,78.73,61.0,83.0,6.02,PF,1614645939.0
13,nome,64.5011,-165.4064,3.2,55.0,90.0,10.36,US,1614645939.0
14,hereford,52.0568,-2.7148,39.99,79.0,30.0,1.01,GB,1614645939.0
15,camargo,27.6667,-105.1667,54.88,31.0,100.0,16.35,MX,1614645940.0
16,boqueirao,-7.5,-36.1333,69.8,100.0,75.0,12.66,BR,1614645940.0
17,onega,63.9061,38.1404,26.13,98.0,95.0,11.95,RU,1614645940.0
18,paita,-5.0892,-81.1144,75.06,78.0,100.0,7.99,PE,1614645941.0
19,deputatskiy,69.3,139.9,-27.27,98.0,95.0,0.45,RU,1614645941.0
20,hobart,-42.8794,147.3294,57.99,54.0,90.0,16.11,AU,1614645941.0
22,grand gaube,-20.0064,57.6608,75.99,78.0,0.0,1.99,MU,1614645942.0
23,mataura,-46.1927,168.8643,73.99,69.0,89.0,1.01,NZ,1614645942.0
24,tommot,58.9564,126.2925,-17.88,83.0,77.0,1.72,RU,1614645942.0
25,caraballeda,10.6112,-66.8522,80.6,78.0,20.0,2.3,VE,1614645942.0
27,katsuura,35.1333,140.3,64.0,94.0,75.0,8.05,JP,1614645943.0
28,severo-kurilsk,50.6789,156.125,23.34,68.0,100.0,13.51,RU,1614645943.0
29,bredasdorp,-34.5322,20.0403,64.4,94.0,0.0,5.75,ZA,1614645943.0
30,felipe carrillo puerto,19.5833,-88.05,75.06,79.0,0.0,4.47,MX,1614645943.0
31,ushuaia,-54.8,-68.3,48.2,53.0,20.0,6.91,AR,1614645943.0
32,jamestown,42.097,-79.2353,23.0,89.0,75.0,20.02,US,1614645943.0
33,the valley,18.217,-63.0578,77.0,61.0,40.0,10.36,AI,1614645944.0
35,vaini,-21.2,-175.2,80.6,78.0,75.0,20.71,TO,1614645944.0
36,eureka,40.8021,-124.1637,51.01,78.0,100.0,7.0,US,1614645944.0
37,punta arenas,-53.15,-70.9167,48.2,57.0,0.0,10.36,CL,1614645944.0
